sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Basic Materials,"New Talisman Gold Mines Limited, together with its subsidiaries, engages in the mine development and mineral exploration activities in New Zealand. It primarily explores for gold and silver deposits. The company holds a 100% interest in the Talisman gold project covering an area of 299.2 hectares located in the Hauraki Gold Field. It is also involved in the share investment activity. New Talisman Gold Mines Limited was founded in 1894 and is headquartered in Auckland, New Zealand.",Auckland,64 9 303 1893,,New Zealand,https://www.newtalismangoldmines.co.nz,1,547 Parnell Road,Gold,0.0,0.0,1.0,-888504,,-4800.0933,-1036034,none,,1205875,0.002,3.91,-0.27582002,0.463,-0.45041,492507,47464,1191,0.0,NZD,0.0,2.296,ASX,NEWTALISMN FPO NZ,New Talisman Gold Mines Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NTL.AX,finmb_875585,au_market,6320.924,-7.266,,3127229952,0.006,1648684800,0.0,-5719320,0.0,,0.33333334,0.33389,1711843200,1648684800,2114892222,-0.223791,7528220,4,7432.6953,,0.002,0.002,0.001965,,0.0,0.002,298553,0.002,0.00194,,0.002,298553,0.002,AUD,52240,8852340,824750,0.002,0.002,0,52240,0.003,0.001,0.001,False,0,0.002,0.002,https://logo.clearbit.com/newtalismangoldmines.co.nz,,,,67db2adb-d6a2-3756-9a4b-85a62e27ed19
Basic Materials,"NT Minerals Limited engages in the exploration, evaluation, and development of mineral properties in Australia. The company primarily explores for copper deposits. It focuses on the Redbank project in the northeast of the Northern Territory; and the Millers Creek Project in the Gawler Craton of South Australia. The company was formerly known as Redbank Copper Limited and changed its name to NT Minerals Limited in June 2022. NT Minerals Limited was incorporated in 1993 and is based in Jolimont, Australia.",Jolimont,61 8 9362 9888,WA,Australia,https://www.ntminerals.com.au,1,589 Hay Street,Copper,0.0,0.0,1.0,-1630599,-0.448,-47.45306,-2139138,none,,-6014627,0.01,3.498,-0.12541,2.531,-0.11886,3589379,279672,47735,0.006,AUD,,3.446,ASX,NTMIN FPO,NT Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NTM.AX,finmb_594322,au_market,63.461,-1.416,,,,1656547200,0.1357,-1139462,,,,0.3439,1719705600,1656547200,446171029,1.151904,3029300,4,,,0.01,0.014,0.022975,,0.0,0.024,0,0.01,0.01,,0.014,0,0.023,AUD,1494685,,292868,0.023,0.009,,1494685,0.077,0.009,0.023,False,,0.024,0.01,https://logo.clearbit.com/ntminerals.com.au,,,,bf64aac7-61fa-3a77-b0c5-e12f42ac4165
Technology,"Nitro Software Limited operates as a document productivity software company in Australia and internationally. It offers Nitro Productivity platform that provides PDF productivity, simple to qualified eSignatures, powerful APIs and integrations, document generation, and industry leading analytics. The company also provides maintenance and support services. Nitro Software Limited was incorporated in 1997 and is headquartered in San Francisco, California.",San Francisco,650 507 4777,CA,United States,https://www.gonitro.com,1,150 Spear Street,Software—Application,-0.37417,-0.51211,0.90783,-14701000,0.357,-0.43164003,-22246000,buy,46856000,-6746875,2.21,1.288,-0.16174,2.548,-0.51211,35168000,2393000,59454000,0.146,USD,0.269,1.21,ASX,NITRO SOFT FPO,Nitro Software Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NTO.AX,finmb_183714737,au_market,6.457,-17.257,,245794000,0.154,1640908800,0.23185,-30447000,-0.052,,14.35065,0.33942002,1703980800,1656547200,147521681,0.293748,383905280,4,9.136555,-18.416668,2.21,2.21,1.584325,,0.0,2.22,235147,2.21,2.1254,,2.21,235147,2.21,AUD,75757,543204736,782273,2.21,2.22,,75757,2.32,1.075,2.21,False,,2.22,2.21,https://logo.clearbit.com/gonitro.com,,,,f270d612-696c-313c-943f-41a0e970e4b5
Basic Materials,"Northern Minerals Limited engages in the exploration and evaluation of rare earth element mineral interests in Australia. The company explores for dysprosium and other heavy rare earths. Its flagship project is the 100% owned Browns Range Pilot Plant project located to the south east of Halls Creek in northern Western Australia. The company was formerly known as Northern Uranium Limited and changed its name to Northern Minerals Limited in February 2011. Northern Minerals Limited was incorporated in 2006 and is based in West Perth, Australia.",West Perth,61 8 9481 2344,WA,Australia,https://northernminerals.com.au,1,34 Colin Street,Other Industrial Metals & Mining,0.0,0.0,0.88114,-16929326,,-5.6229,-16503568,none,3792427,-7909172,0.043,3.68,-0.59855,4.425,-1.40875,2857574,247019,4304005,0.001,AUD,0.001,3.447,ASX,NTH MINS FPO,Northern Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NTU.AX,finmb_29294936,au_market,46.819,-12.21,,4860870144,0.003,1656547200,0.0075199995,-24356842,-0.008,,14.333334,0.54497004,1719705600,1656547200,2570314176,0.809584,201509920,4,48.563473,,0.043,0.042,0.0425375,,0.0,0.043,1415718,0.043,0.04094,,0.042,1415718,0.042,AUD,2149445,209017424,1741002,0.042,0.043,0,2149445,0.063,0.035,0.042,False,0,0.043,0.043,https://logo.clearbit.com/northernminerals.com.au,,,,40958519-919b-3269-8a01-ce96daef76f2
Consumer Defensive,"Nuchev Limited, a health and nutrition solutions company, produces, markets, and sells goat milk-based infant formula and nutritional products to consumers in Australia, China, and Vietnam. The company provides toddler nutrition, goat nutritional powder, and health and well-being products under the Oli6 brand. It offers its products through retailers and e-commerce platforms. Nuchev Limited was founded in 2013 and is headquartered in Melbourne, Australia.",Melbourne,61 3 9544 8910,VIC,Australia,https://www.nuchev.com.au,1,Level 10,Packaged Foods,-1.14503,-1.1424,0.29051,-8300310,-0.177,-1.1474199,-11134056,hold,2824832,-4861464,0.195,9.071,-0.30281,0.974,-0.52252,5112514,154124,9723809,0.099,AUD,0.188,3.684,ASX,NUCHEV FPO,Nuchev Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NUC.AX,finmb_422951607,au_market,0.582,-0.508,,51744400,0.667,1656547200,0.23375,-11108449,-0.186,,0.2923538,0.53761,1719705600,1656547200,24601641,1.311341,5655361,4,1.0376755,-1.5,0.195,0.195,0.2548375,,0.0,0.195,93,0.195,0.1937,,0.195,93,0.195,AUD,930,10090158,4934,0.195,0.2,,930,0.55,0.165,0.19,False,,0.195,0.195,https://logo.clearbit.com/nuchev.com.au,,,,3f9118dd-3c08-33ad-b11f-daab02ec82c6
Basic Materials,"Nufarm Limited, together with its subsidiaries, develops, manufactures, and sells crop protection solutions and seed technologies in Europe, the Middle East, Africa, North America, and the Asia Pacific. It operates through two segments, Crop Protection and Seed Technology. The company's protection solutions include herbicides, insecticides, and fungicides that help growers protect crops against weeds, pests, and diseases. It focuses on crops, such as cereals; corn; soybean; pasture, turf, and ornamentals; and trees, nuts, vines, and vegetables. It also provides seed treatment products for the protection and treatment of damage caused by insects, fungus, and disease; and distributes sunflower, sorghum, and canola seeds. Nufarm Limited was founded in 1916 and is headquartered in Laverton North, Australia.",Laverton North,61 3 9282 1000,VIC,Australia,https://www.nufarm.com,1,103-105 Pipe Road,Agricultural Inputs,0.09392,0.027490001,0.25342,305679008,0.313,0.0563,350452000,hold,834705000,,6.12,1.697,,44.925,,460726016,954302976,3731557120,1.212,AUD,9.826,1.004,ASX,NUFARM FPO,Nufarm Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NUF.AX,finmb_878126,au_market,0.772,8.218,,379958016,4.74,1632960000,0.62384,95233000,-1.446,,1.2911392,0.026659999,1696032000,1648684800,370632683,0.439452,2880016896,2,0.6231562,21.103449,6.13,6.11,5.6503,0.006525285,0.1458,6.15,861972,6.13,5.9918,0.04,6.11,861972,6.06,AUD,2652722,2325342976,1184120,6.06,6.13,0,2652722,6.93,4.25,6.12,False,0,6.15,6.12,https://logo.clearbit.com/nufarm.com,,,,d99d144f-439d-39c1-bfe0-2829ef83ba43
Technology,"Nuheara Limited, a wearables technology company, engages in the development and commercialization of hearing technology and products as regulated medical devices worldwide. The company offers IQbuds2 MAX, a hearing bud; IQstream TV for streaming stereo sound from the TV to IQbuds MAX earbuds; IQbuds2 MAX accessories; and Bluetooth transmitters. It sells its products through retail and direct-to-consumer online sales platform. Nuheara Limited has a strategic partnership and cornerstone investment from Realtek Semiconductor Corporation to develop chipset and technology solutions to penetrate hearing related markets. The company is headquartered in Perth, Australia.",Perth,61 8 6555 9999,WA,Australia,https://www.nuheara.com,1,190 Aberdeen Street,Consumer Electronics,0.0,0.0,0.18426001,-9301660,-0.767,-4.19792,-15992673,none,712286,-10083684,0.23,1.183,-0.66304,109.709,-1.7965199,441525,3405540,3865582,0.004,AUD,0.042,0.593,ASX,NUHEARA FPO,Nuheara Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NUH.AX,finmb_301542958,au_market,5.307,-1.283,,1847320064,0.005,1656547200,0.16319999,-14335100,-0.006,,46.0,0.29297,1719705600,1656547200,63703471,2.178005,20515230,4,109.91453,,0.235,0.235,0.20885,,0.0,0.235,174166,0.235,0.2362,,0.235,174166,0.225,AUD,116756,424883616,434724,0.225,0.23,0,116756,0.38,0.1,0.225,False,0,0.235,0.23,https://logo.clearbit.com/nuheara.com,,,,f402c65d-9e54-30dc-b3ab-4a7d18a5f014
Basic Materials,"Nova Minerals Limited engages in the exploration of mineral properties in Australia, Canada, and the United States. The company explores for lithium and gold deposits. Its flagship projects include the Estelle gold project, a 35km long corridor of 21 identified gold prospects bracketed by the Korbel gold project in the north; and the RPM gold project in the south located in Alaska. The company was formerly known as Quantum Resources Limited and changed its name to Nova Minerals Limited in December 2017. Nova Minerals Limited was incorporated in 1987 and is based in Melbourne, Australia.",Melbourne,61 3 9537 1238,VIC,Australia,https://novaminerals.com.au,1,566 St Kilda Road,Other Industrial Metals & Mining,0.0,0.0,0.0,-2855761,,0.0,-50298448,none,,-55522840,0.69,5.381,-0.38322,,0.4385,21278936,0,,0.116,AUD,,5.363,ASX,NOVA MIN FPO,Nova Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NVA.AX,finmb_881213,au_market,,-2.247,,180202000,0.029,1656547200,0.0507,34684552,-0.002,,23.793104,0.2762,1719705600,1656547200,133014842,1.3543,113028968,4,,,0.695,0.73,0.73515,,0.0,0.73,108107,0.695,0.7171,,0.73,108107,0.675,AUD,70293,124339376,190562,0.675,0.705,0,70293,1.18,0.53,0.675,False,0,0.73,0.69,https://logo.clearbit.com/novaminerals.com.au,,,,f7841f53-c54d-3873-9705-6d790a21f332
Technology,"Nanoveu Limited, a technology company, develops and sells nanotechnology applications for consumer devices in the Americas and internationally. The company provides Nanoshield, an antiviral protector, which is available in various mobile phone screen covers and cases, as well as a commercial film for various surface applications. It also offers EyeFly3D that converts 2D digital displays into 3D without the need for 3D glasses. In addition, the company is developing Customskins vending machines for precisely applying screen covers to mobile phones in just over a minute; EyeFyx, a vision correction solution using hardware and software to manipulate screen output; and anti-flamatory coating technology used in plastic laminates for the aviation and transport sectors. The company was incorporated in 2018 and is based in Subiaco, Australia.",Subiaco,61 8 6244 9095,WA,Australia,https://nanoveu.com,1,1/18 Olive Street,Software—Application,0.0,0.0,0.45316002,-2008965,-0.818,-4.77536,-2025955,none,386559,-1164692,0.009,1.749,-0.78499,,-3.1460102,962862,0,434574,0.004,AUD,0.002,1.13,ASX,NANOVEU FPO,Nanoveu Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NVU.AX,finmb_579540479,au_market,4.442,-0.953,,209071008,0.008,1640908800,0.0121,-2470045,-0.013,,1.1249999,0.37096,1703980800,1656547200,137951330,1.421933,1930365,4,4.3298473,,0.009,0.009,0.0145825,,0.0,0.009,224234,0.009,0.01096,,0.009,224234,0.009,AUD,2547,1881639,130608,0.009,0.01,0,2547,0.037,0.008,0.009,False,0,0.009,0.009,https://logo.clearbit.com/nanoveu.com,,,,abc89c30-36ad-3c25-bd89-84c5256bb39b
Industrials,"Novonix Limited develops and supplies battery materials, equipment, and services to the lithium-ion battery market in North America. It operates through three segments: Graphite Exploration and Mining, Battery Technology, and Battery Materials. The Graphite Exploration and Mining segment explores for graphite in Australia. The Battery Technology segment develops battery cell testing equipment and batteries, and consulting services. The Battery Materials segment develops and manufactures battery anode materials. The company is also involved in the investment and battery testing activities. The company was formerly known as Graphitecorp Limited and changed its name to Novonix Limited in July 2017. Novonix Limited was incorporated in 2012 and is based in Brisbane, Australia.",Brisbane,,QLD,Australia,https://www.novonixgroup.com,1,71 Eagle Street,Electrical Equipment & Parts,0.0,0.0,0.6429,-40353292,0.522,-7.35857,-56721796,buy,5411786,-145673536,1.59,20.559,-0.12053,16.847,-0.26038,207083936,61382072,8417763,0.426,AUD,0.018,18.401,ASX,NOVONIX FPO,Novonix Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NVX.AX,finmb_315063827,au_market,148.374,-22.019,,483856000,0.167,1656547200,0.12682,-71441024,-0.096,,9.520959,0.39830002,1719705600,1656547200,314945082,1.78605,1248978560,4,91.39377,53.000004,1.55,1.53,2.89435,,0.0,1.62,3693654,1.55,2.078,,1.53,3693654,1.505,AUD,3078979,769331072,4009841,1.505,1.59,0,3078979,10.79,1.39,1.585,False,0,1.62,1.59,https://logo.clearbit.com/novonixgroup.com,,,,b7ffcd60-2c6e-3a14-82b8-1948139d572c
Basic Materials,"New World Resources Limited engages in the exploration and development of mineral properties in North America. The company explores for gold, copper, and zinc deposits. It holds interests in the Tererro copper-gold-zinc VMS project located in New Mexico, and the Antler copper project situated in Arizona. The company was formerly known as New World Cobalt Limited and changed its name to New World Resources Limited in December 2019. The company was incorporated in 2004 and is based in Subiaco, Australia.",Subiaco,61 8 9226 1356,WA,Australia,https://newworldres.com,1,22 Railway Road,Other Industrial Metals & Mining,0.0,0.0,1.0,-3604645,-0.066,-11771.179,-1895748,strong_buy,1210,-12447405,0.034,1.978,-0.20085,,-0.34518,4360320,0,1210,0.002,AUD,0.0,1.871,ASX,NEWWORLDR FPO,New World Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NWC.AX,finmb_23500017,au_market,48292.87,-30.824,,1594649984,0.022,1656547200,0.111940004,-14710372,-0.001,,1.5454546,0.17276,1719705600,1656547200,1476801965,2.515618,58434376,4,44808.35,,0.032,0.032,0.0378075,,0.0,0.034,2041807,0.032,0.03399,,0.032,2041807,0.032,AUD,2827959,54218104,5175743,0.032,0.034,0,2827959,0.088,0.028,0.033,False,0,0.034,0.034,https://logo.clearbit.com/newworldres.com,,,,08e19df1-f865-3aa5-934b-a2e17de54f8b
Energy,"Norwest Energy NL is involved in the exploration of hydrocarbon resources in Australia. The company owns 20% interest in EP368 permit; 22.22% interest in EP426 permit; and 25% working interest in TP/15 permit located in Australia. Norwest Energy NL was incorporated in 1997 and is headquartered in West Perth, Australia.",West Perth,61 8 9227 3240,WA,Australia,https://norwestenergy.com.au,1,30 Richardson Street,Oil & Gas E&P,0.0,0.0,1.0,-1292221,-0.246,-8.70945,-1853682,strong_buy,228994,-3928210,0.064,16.405,-0.07238,0.85,-0.12377,22807806,235010,228994,0.003,AUD,0.0,16.405,ASX,NORWEST FPO,Norwest Energy NL,Australia/Sydney,AEDT,False,39600000,EQUITY,NWE.AX,finmb_4509174,au_market,1336.711,-165.13,,5633529856,0.001,1656547200,0.00014999999,-1993894,0.0,,64.0,0.30719,1719705600,1656547200,4448133637,0.485237,306098784,4,1574.4775,,0.059,0.063,0.04376,,0.0,0.065,27179429,0.059,0.0507,,0.063,27179429,0.062,AUD,87758689,360545920,13745583,0.062,0.065,0,87758689,0.065,0.025,0.064,False,0,0.065,0.064,https://logo.clearbit.com/norwestenergy.com.au,,,,b06be516-41aa-3fb2-b517-39d3e7d0ba72
Basic Materials,"Newfield Resources Limited engages in the mine development, stope mining, and mineral exploration activities primarily in Australia and Africa. It explores for diamonds and gold deposits. The company's flagship project is the Tongo diamond project, which covers an area over 134 square kilometers in eastern Sierra Leone. Newfield Resources Limited was incorporated in 2011 and is based in North Fremantle, Australia.",North Fremantle,61 8 6389 2688,WA,Australia,https://www.newfieldresources.com.au,1,15 McCabe Street,Other Precious Metals & Mining,0.0,0.0,0.11717,-7308762,,-3.4290202,-6762803,none,231387,-15017387,0.37,0.332,-0.03507,0.158,-0.1017,1259564,159076,1974726,0.002,AUD,0.003,0.225,ASX,NEWFIELD FPO,Newfield Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NWF.AX,finmb_204731815,au_market,153.227,-44.742,,652656000,0.066,1656547200,0.05913,-6910839,-0.011,,5.6060605,0.67696,1719705600,1656547200,232388122,0.407359,302581056,4,122.2867,,0.365,0.36,0.399,,0.0,0.37,85233,0.365,0.3821,,0.36,85233,0.35,AUD,37200,241482720,82276,0.35,0.375,0,37200,0.475,0.325,0.365,False,0,0.37,0.37,https://logo.clearbit.com/newfieldresources.com.au,,,,268bef82-613f-3d05-bf16-2b61526685ab
Industrials,"NRW Holdings Limited, through its subsidiaries, provides diversified contract services to the resources and infrastructure sectors in Australia. The company operates through three segments: Civil; Mining; and Minerals, Energy & Technologies. The Civil segment delivers private and public civil infrastructure, mine development, bulk earthworks, and commercial and residential subdivision projects. Its civil construction projects include roads, bridges, tailings storage facilities, rail formations, ports, renewable energy projects, water infrastructure, and concrete installations. The Mining segment engages in the mine management, contract mining, load and haul, dragline, drill and blast, and coal handling preparation plant operations; maintenance activities; and fabrication of water and service vehicles. The Minerals, Energy & Technologies segment provides materials handling, onsite maintenance, and shutdown services; industrial engineering and fabrication services; and engineering, procurement, and construction services. It also provides heat treatment services, as well as mining equipment solutions. The company was founded in 1994 and is headquartered in Belmont, Australia.",Belmont,61 8 9232 4200,WA,Australia,https://www.nrw.com.au,1,181 Great Eastern Highway,Engineering & Construction,0.09770001,0.04097,0.45336,288000000,0.157,0.053039998,232295008,buy,1077970000,108232248,2.86,1.311,0.057540003,47.789,0.17039,219338000,285920992,2377728000,0.488,AUD,5.294,1.145,ASX,NRWHOLDLTD FPO,NRW Holdings Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NWH.AX,finmb_36186760,au_market,0.502,5.14,,449052000,1.129,1656547200,0.23111999,97414000,0.16,,2.5332153,0.059899997,1719705600,1656547200,414731394,1.564826,1194058752,4,0.5401327,11.916666,2.89,2.89,2.269625,0.02768166,0.4907,2.91,520566,2.89,2.6916,0.08,2.89,520566,2.86,AUD,495951,1284288640,1072866,2.86,2.88,0,495951,2.91,1.51,2.85,False,0,2.91,2.86,https://logo.clearbit.com/nrw.com.au,,,,52e2af04-c638-3a8d-9085-f5f1d0351086
Financial Services,"Netwealth Group Limited, a financial services company, engages in the wealth management business in Australia. It offers financial intermediation services; superannuation products; managed accounts; and managed funds, as well as investor directed portfolio services. The company also provides investment wrap products for self-managed super fund (SMSF) clients; investment options, such as listed and international securities, managed account models, managed funds, term deposits, premium services, and investor rewards; insurance products; forms and disclosure documents; and resources and tools, as well as insurance, advisory, licensee, and private wealth solutions. In addition, it offers a superannuation master fund, separately managed accounts, and self-managed superannuation and non-custodial administration services; and portfolio management tools, performance tools, investment research tools, and mobile access tools. The company provides its financial services to investors and non-institutional intermediaries, including financial advisers, private clients, and high net worth firms. Netwealth Group Limited was founded in 1999 and is headquartered in Melbourne, Australia.",Melbourne,61 3 9655 1300,VIC,Australia,https://www.netwealth.com.au,1,180 Flinders Street,Capital Markets,0.47814998,0.32054,0.61401004,59605000,0.222,0.47314999,82866000,hold,106412000,46503376,12.64,6.474,0.38342997,14.473,0.56277,89462000,15087000,173304992,0.367,AUD,0.711,6.184,ASX,NETWEALTH FPO,Netwealth Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NWL.AX,finmb_541579807,au_market,16.172,33.821,,243812992,0.361,1656547200,0.17231001,55552000,0.213,,35.01385,0.5147,1719705600,1656547200,94585083,0.530526,2802626560,2,35.565002,39.500004,12.54,12.5,12.81155,0.013476874,0.856,12.71,164469,12.54,13.0742,0.169,12.5,164469,12.38,AUD,164026,6163592704,301853,12.38,12.67,0,164026,16.96,10.35,12.64,False,0,12.71,12.64,https://logo.clearbit.com/netwealth.com.au,,,,826d9b69-a48f-3a49-acd5-b84ee055271f
Basic Materials,"Norwest Minerals Limited engages in the mineral exploration business in Australia. The company explores for gold, copper, nickel, rare earth elements, and lithium deposits. It holds a 100% interest in the Bulgera gold project covering an area of 39 square kilometers located in the Plutonic Well Greenstone Belt of Western Australia; the Marriott project consisting of a single mining lease that covers an area of approximately 400 meters square situated in southeast of Leinster; and the Bali copper project covering an area of 41 square kilometers with four prospects identified along the 8-kilometre northwest trending Bali shear zone located to the west of Paraburdoo in Western Australia. The company also holds an 83% interest in the Arunta West gold and copper project covering an area of 840 square kilometers located in Western Australia; and a 84% interest in the Marymia East project comprising two granted exploration tenements covering an area of approximately 230 square kilometers situated in east of the Plutonic Gold Mine. Norwest Minerals Limited was incorporated in 2017 and is headquartered in West Perth, Australia.",West Perth,61 8 6117 0457,WA,Australia,https://norwestminerals.com.au,1,7 Ventnor Avenue,Gold,0.0,0.0,0.0,-851115,,0.0,-1467541,none,,-4035324,0.051,3.444,-0.06159,,-0.10283,1576193,0,,0.007,AUD,,3.444,ASX,NORWESTMIN FPO,Norwest Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,NWM.AX,finmb_581454247,au_market,,-5.585,,180607008,0.118,1656547200,0.0,-1472894,-0.023,,0.43220338,0.46402,1719705600,1656547200,116046668,0.337174,8196532,4,,,0.051,0.051,0.04591,,0.0,0.051,127430,0.051,0.05304,,0.051,127430,0.048,AUD,56996,9210957,1032088,0.048,0.051,0,56996,0.087,0.025,0.047,False,0,0.051,0.051,https://logo.clearbit.com/norwestminerals.com.au,,,,6b1f251a-77f0-32c4-b710-e295f3fc6dea
Communication Services,"News Corporation, a media and information services company, creates and distributes authoritative and engaging content, and other products and services for consumers and businesses worldwide. It operates in six segments: Digital Real Estate Services, Subscription Video Services, Dow Jones, Book Publishing, News Media, and Other. The company distributes content and data products, including The Wall Street Journal, Barron's, MarketWatch, Investor's Business Daily, Factiva, Dow Jones Risk & Compliance, Dow Jones Newswires, and OPIS through various media channels, such as newspapers, newswires, websites, mobile apps, newsletters, magazines, proprietary databases, live journalism, video, and podcasts. It also owns and operates daily, Sunday, weekly, and bi-weekly newspapers comprising The Australian, The Weekend Australian, The Daily Telegraph, The Sunday Telegraph, Herald Sun, Sunday Herald Sun, The Courier Mail, The Sunday Mail, The Advertiser, Sunday Mail, The Sun, The Sun on Sunday, The Times, The Sunday Times, and New York Post, as well as digital mastheads and other websites. In addition, the company publishes general fiction, nonfiction, children's, and religious books; provides sports, entertainment, and news services to pay-TV and streaming subscribers, and other commercial licensees through cable, satellite, and internet distribution; and broadcasts rights to live sporting events. Further, it offers property and property-related advertising and services on its websites and mobile applications; online real estate services; and financial services. The company was founded in 2012 and is headquartered in New York, New York.",New York,212 416 3400,NY,United States,https://newscorp.com,1,1211 Avenue of the Americas,Entertainment,0.13654,0.05999,0.51122004,1354000000,0.073,0.09562001,1418000000,buy,5309000000,846750016,28.02,1.163,0.036510002,45.445,0.08311,1883000064,4155000064,10385000448,3.239,USD,17.617,0.98,ASX,NEWS CORP B VOTING,News Corporation,Australia/Sydney,AEDT,False,39600000,EQUITY,NWS.AX,finmb_212741644,au_market,1.8,13.183,,592345984,13.765,1656547200,0.15895,623000000,-1.887,,2.0355976,0.0,1719705600,1656547200,500354152,1.285924,18693705728,2,1.5982219,18.556292,27.95,27.72,25.87045,0.007155635,0.19049999,28.1,75168,27.95,26.9954,0.2,27.72,75168,27.72,AUD,51301,16597534720,230827,27.72,28.04,0,51301,33.6,21.89,28.02,False,0,28.1,28.02,https://logo.clearbit.com/newscorp.com,,,,a3232b49-dd5d-3c95-b3a0-b6c3aadb78ad
Communication Services,"News Corporation, a media and information services company, creates and distributes authoritative and engaging content, and other products and services for consumers and businesses worldwide. It operates in six segments: Digital Real Estate Services, Subscription Video Services, Dow Jones, Book Publishing, News Media, and Other. The company distributes content and data products, including The Wall Street Journal, Barron's, MarketWatch, Investor's Business Daily, Factiva, Dow Jones Risk & Compliance, Dow Jones Newswires, and OPIS through various media channels, such as newspapers, newswires, websites, mobile apps, newsletters, magazines, proprietary databases, live journalism, video, and podcasts. It also owns and operates daily, Sunday, weekly, and bi-weekly newspapers comprising The Australian, The Weekend Australian, The Daily Telegraph, The Sunday Telegraph, Herald Sun, Sunday Herald Sun, The Courier Mail, The Sunday Mail, The Advertiser, Sunday Mail, The Sun, The Sun on Sunday, The Times, The Sunday Times, and New York Post, as well as digital mastheads and other websites. In addition, the company publishes general fiction, nonfiction, children's, and religious books; provides sports, entertainment, and news services to pay-TV and streaming subscribers, and other commercial licensees through cable, satellite, and internet distribution; and broadcasts rights to live sporting events. Further, it offers property and property-related advertising and services on its websites and mobile applications; online real estate services; and financial services. The company was founded in 2012 and is headquartered in New York, New York.",New York,212 416 3400,NY,United States,https://newscorp.com,1,1211 Avenue of the Americas,Entertainment,0.13654,0.05999,0.51122004,1354000000,0.073,0.09562001,1418000000,none,5309000000,846750016,26.0,1.163,0.036510002,45.445,0.08311,1883000064,4155000064,10385000448,3.239,USD,17.617,0.98,ASX,NEWS CORP A NONVOTE,News Corporation,Australia/Sydney,AEDT,False,39600000,EQUITY,NWSLV.AX,finmb_212741644,au_market,1.741,12.749,,592345984,13.765,1656547200,0.0,623000000,-1.887,,1.8888484,0.01567,1719705600,1656547200,500354152,1.285924,18077396992,2,1.4853699,,26.0,26.0,25.5714,0.0076923077,0.19049999,26.0,46,26.0,26.433,0.2,26.0,46,26.0,AUD,58,15425566720,58,26.0,29.5,0,58,32.67,22.35,0.0,False,0,26.0,26.0,https://logo.clearbit.com/newscorp.com,,,,760f5096-091e-3deb-87cc-de563431f215
